date,kickoff_cet,label
"# Kickoffs in CET/CEST, converted from ET (+6h). Source: roadtrips.com schedule.",,
2026-07-04,2026-07-04T00:00,M86 Argentina v Cape Verde
2026-07-04,2026-07-04T03:30,M87 Colombia v Ghana
2026-07-04,2026-07-04T19:00,M90 Canada v Morocco
2026-07-04,2026-07-04T23:00,M89 Paraguay v France
2026-07-05,2026-07-05T22:00,M91 Brazil v Norway
2026-07-06,2026-07-06T03:00,M92 Mexico v England
2026-07-06,2026-07-06T21:00,M93 Portugal v Spain
2026-07-07,2026-07-07T02:00,M94 USA v Belgium
2026-07-07,2026-07-07T18:00,M95 Argentina v Egypt
2026-07-07,2026-07-07T22:00,M96 Switzerland v Colombia
2026-07-09,2026-07-09T22:00,M97 France v Morocco
2026-07-10,2026-07-10T21:00,M98 Spain v Belgium
2026-07-11,2026-07-11T23:00,M99 Norway v England
2026-07-12,2026-07-12T03:00,M100 Argentina v Switzerland
2026-07-14,2026-07-14T21:00,M101 France v Spain
2026-07-15,2026-07-15T21:00,M102 England v Argentina
2026-07-18,2026-07-18T23:00,M103 France v England
2026-07-19,2026-07-19T21:00,M104 Spain v Argentina
